subid,age,sex,meanFD
sub-CCNPPEK0187,9.5,1,0.1409945
sub-CCNPPEK0188,9.4,1,0.1051745
sub-CCNPPEK0189,9.2,1,0.154675
sub-CCNPPEK0191,9.2,1,0.199958
sub-CCNPPEK0195,9.6,1,0.168846
sub-CCNPPEK0196,10.3,2,0.102479
sub-CCNPPEK0197,8.6,1,0.1244985
sub-CCNPPEK0199,14.6,2,0.115516
sub-CCNPPEK0200,11.1,1,0.0982405
sub-CCNPPEK0201,7.4,2,0.1833
sub-CCNPPEK0202,6.6,2,0.1333015
sub-CCNPPEK0203,8.6,2,0.108269
sub-CCNPPEK0204,7.1,1,0.149761
sub-CCNPPEK0205,7.1,1,0.1847585
sub-CCNPPEK0207,7.4,2,0.1525005
sub-CCNPPEK0208,7.1,1,0.2898035
sub-CCNPPEK0210,10,2,0.071629
sub-CCNPPEK0211,9.2,1,0.1490305
sub-CCNPPEK0212,7.2,2,0.185991
sub-CCNPPEK0213,11.5,1,0.208615
sub-CCNPPEK0214,6.6,1,0.20596
sub-CCNPPEK0215,12.4,2,0.1038955
sub-CCNPPEK0216,10.8,2,0.078822
sub-CCNPPEK0218,8.7,2,0.083329
sub-CCNPPEK0219,8.8,1,0.1869715
sub-CCNPPEK0220,12.8,1,0.228048
sub-CCNPPEK0221,11.9,1,0.166536
sub-CCNPPEK0222,7.5,2,0.154579
sub-CCNPPEK0225,12.5,2,0.1399515
sub-CCNPPEK0226,10.9,1,0.1368655
sub-CCNPPEK0227,10.2,2,0.0703355
sub-CCNPPEK0228,11.2,1,0.135921
sub-CCNPPEK0234,15.2,1,0.113549
sub-CCNPPEK0235,6.7,1,0.2265215
sub-CCNPPEK0236,9.4,2,0.103776
sub-CCNPPEK0238,14,1,0.1385235
sub-CCNPPEK0239,12.6,2,0.116033
sub-CCNPPEK0240,6.1,2,0.153139
sub-CCNPPEK0241,11.2,1,0.1099535
sub-CCNPPEK0242,7.5,2,0.218149
sub-CCNPPEK0243,10.1,2,0.087182
sub-CCNPPEK0244,10.7,1,0.1410695
sub-CCNPPEK0246,8.4,1,0.1426895
sub-CCNPPEK0247,12.5,2,0.13086
sub-CCNPPEK0250,12.9,1,0.1390545
sub-CCNPPEK0252,6.2,1,0.161788
sub-CCNPPEK0254,10.6,2,0.1284945
